x,y
0.0238464,0.968819
0.0259741,0.964921
0.0282071,0.960814
0.0305457,0.956495
0.0329901,0.951963
0.0355406,0.947215
0.0381975,0.942251
0.0409608,0.937069
0.0438309,0.931667
0.046808,0.926045
0.0498921,0.920201
0.0530836,0.914136
0.0563824,0.90785
0.0597888,0.901344
0.0633027,0.894617
0.0669241,0.887672
0.0706531,0.88051
0.0744895,0.873133
0.0784331,0.865544
0.0824839,0.857746
0.0866414,0.849742
0.0909054,0.841537
0.0952755,0.833133
0.0997512,0.824536
0.104332,0.815751
0.109017,0.806782
0.113806,0.797634
0.118698,0.788313
0.123692,0.778825
0.128788,0.769175
0.133984,0.759368
0.139279,0.749411
0.144673,0.739309
0.150163,0.729068
0.15575,0.718694
0.161431,0.708192
0.167206,0.697569
0.173073,0.686829
0.17903,0.675979
0.185077,0.665024
0.191211,0.653969
0.197432,0.64282
0.203737,0.631582
0.210126,0.620261
0.216596,0.608861
0.223147,0.597389
